"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,NewCases/1M pop,NewDeaths/1M pop,ActiveCases/1M pop
Georgia,882822,3454,12631,49,825442,3334,44749,0,221920.0,3175.0,12040027,3026564,3978117,Asia,868.2,12.3,11248.8
Nepal,823786,232,11552,3,806237,337,5997,114,27559.0,386.0,4702838,157328,29891861,Asia,7.8,0.1,200.6
Slovakia,764112,6620,15236,57,636055,9247,112821,605,139859.0,2789.0,4825139,883166,5463458,Europe,1211.7,10.4,20650.1
UAE,742641,74,2151,2,737749,93,2741,0,73802.0,214.0,104174110,10352520,10062681,Asia,7.4,0.2,272.4
Tunisia,719247,241,25419,3,692463,179,1365,50,59953.0,2119.0,3220850,268473,11996935,Africa,20.1,0.3,113.8
Bulgaria,713083,1719,29459,77,586208,2329,97416,628,103752.0,4286.0,6866448,999055,6872943,Europe,250.1,11.2,14173.8
Lebanon,686725,1563,8824,10,638964,0,38937,186,101267.0,1301.0,4795578,707174,6781330,Asia,230.5,1.5,5741.8
Belarus,671432,1800,5245,18,661296,2072,4891,0,71090.0,555.0,10626257,1125086,9444838,Europe,190.6,1.9,517.8
Croatia,648003,3797,11516,71,609663,4585,26824,326,159264.0,2830.0,3559322,874800,4068726,Europe,933.2,17.5,6592.7
Guatemala,621844,516,16029,9,604817,572,998,5,33809.0,871.0,3180830,172937,18393028,North America,28.1,0.5,54.3
Ireland,614952,4097,5788,0,475058,2968,134106,110,122566.0,1154.0,9313992,1856371,5017312,Europe,816.6,0.0,26728.7
Azerbaijan,602137,1109,8055,17,573034,1946,21048,0,58625.0,784.0,5655385,550618,10270969,Asia,108.0,1.7,2049.3
Sri Lanka,571426,754,14573,18,544200,377,12653,0,26525.0,676.0,5726599,265825,21542773,Asia,35.0,0.8,587.3
