"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
North Macedonia,"218,723",+361,"7,710 ",+15,"205,393",+433,"5,620",,"104,991","3,701","1,496,479","718,338","2,083,251 ",Europe
Nigeria,"216,451",+533,"2,981 ",,"207,661",+42,"5,809",11,"1,014",14,"3,629,527","17,001","213,495,156 ",Africa
Algeria,"212,434",+210,"6,132 ",+6,"146,006",+160,"60,296",19,"4,722",136,"230,861","5,131","44,991,905 ",Africa
Zambia,"210,724",+162,"3,668 ",,"206,546",+26,510,23,"11,018",192,"2,769,654","144,819","19,124,909 ",Africa
Albania,"203,215",+352,"3,130 ",+2,"194,452",+426,"5,633",23,"70,726","1,089","1,416,414","492,964","2,873,262 ",Europe
Finland,"201,051","+1,794","1,421 ",+15,"46,000",,"153,630",54,"36,205",256,"8,150,123","1,467,661","5,553,139 ",Europe
Botswana,"196,090",,"2,421 ",,"192,452",,"1,217",1,"81,028","1,000","1,929,047","797,120","2,420,021 ",Africa
Uzbekistan,"195,246",+148,"1,430 ",+2,"191,976",+195,"1,840",23,"5,714",42,"1,377,915","40,327","34,168,337 ",Asia
Kyrgyzstan,"183,863",+53,"2,766 ",+2,"178,905",+54,"2,192",131,"27,527",414,"1,861,786","278,739","6,679,306 ",Asia
Zimbabwe,"161,998","+6,181","4,729 ",+6,"129,442",+306,"27,827",12,"10,675",312,"1,685,321","111,061","15,174,773 ",Africa
Montenegro,"159,433",+219,"2,347 ",+7,"154,887",+229,"2,199",60,"253,801","3,736","923,783","1,470,568","628,181 ",Europe
Afghanistan,"157,611",+24,"7,324 ",+2,"141,506",+8,"8,781","1,124","3,922",182,"801,994","19,955","40,190,848 ",Asia
Mozambique,"152,965",+379,"1,942 ",+1,"149,943",+321,"1,080",8,"4,704",60,"997,829","30,688","32,515,649 ",Africa
Cyprus,"140,030",+662,607 ,,"124,370",,"15,053",44,"114,775",498,"9,477,138","7,767,917","1,220,036 ",Asia
Ghana,"131,246",,"1,228 ",,"129,326",,692,5,"4,101",38,"1,933,408","60,405","32,007,152 ",Africa
Namibia,"131,230",+554,"3,575 ",,"125,846",+79,"1,809",3,"50,334","1,371","810,348","310,811","2,607,203 ",Africa
Uganda,"127,877",+81,"3,265 ",+2,"97,739",+23,"26,873",100,"2,674",68,"2,008,652","42,005","47,819,074 ",Africa
Cambodia,"120,327",+15,"2,978 ",+4,"116,680",+12,669,,"7,056",175,"2,725,832","159,850","17,052,487 ",Asia
El Salvador,"119,803",,"3,792 ",+1,"102,982",,"13,029",246,"18,337",580,"1,440,742","220,519","6,533,416 ",North America
Cameroon,"107,549",,"1,823 ",,"102,716",,"3,010",152,"3,911",66,"1,751,774","63,707","27,497,169 ",Africa
Rwanda,"100,556",+39,"1,344 ",,"45,522",,"53,690",1,"7,496",100,"3,613,786","269,395","13,414,453 ",Africa
Luxembourg,"93,429",+369,890 ,+1,"86,920",+412,"5,619",23,"145,834","1,389","3,735,071","5,830,091","640,654 ",Europe
Maldives,"92,846",+92,256 ,+1,"90,776",+151,"1,814",23,"167,513",462,"1,790,773","3,230,920","554,261 ",Asia
Jamaica,"91,652",+51,"2,418 ",+2,"63,358",+48,"25,876",6,"30,758",811,"680,642","228,418","2,979,812 ",North America
Laos,"86,148","+1,645",231 ,+7,"7,339",,"78,578",,"11,598",31,"848,756","114,269","7,427,729 ",Asia
Trinidad and Tobago,"79,237",+898,"2,361 ",+25,"63,010",+613,"13,866",22,"56,355","1,679","470,218","334,431","1,406,026 ",North America
Senegal,"74,065",+11,"1,886 ",,"72,133",+4,46,2,"4,262",109,"887,279","51,055","17,379,053 ",Africa
Angola,"65,371",+25,"1,737 ",+1,"63,417",+40,217,3,"1,904",51,"1,192,540","34,730","34,337,081 ",Africa
Réunion,"63,863",,391 ,,"59,685",,"3,787",34,"70,604",432,"1,347,378","1,489,592","904,528 ",Africa
Malawi,"62,147",+59,"2,307 ",,"58,852",+6,988,67,"3,132",116,"449,549","22,657","19,841,531 ",Africa
Ivory Coast,"61,882",+19,706 ,,"60,946",+17,230,,"2,265",26,"1,172,127","42,906","27,318,673 ",Africa
DRC,"59,851",+643,"1,118 ",+3,"50,930",,"7,803",,640,12,"306,299","3,277","93,478,896 ",Africa
Guadeloupe,"55,284",,748 ,,"2,250",,"52,286",23,"138,133","1,869","551,264","1,377,392","400,223 ",North America
Fiji,"52,577",+5,697 ,,"51,157",+5,723,,"58,044",769,"465,125","513,488","905,814 ",Australia/Oceania
Eswatini,"51,172",+835,"1,248 ",,"45,409",+72,"4,515",11,"43,459","1,060","401,183","340,712","1,177,485 ",Africa
Suriname,"51,149",+25,"1,176 ",+1,"29,584",+1,"20,389",13,"86,079","1,979","162,898","274,141","594,212 ",South America
Syria,"49,101",+93,"2,804 ",+6,"30,276",+96,"16,021",,"2,711",155,"113,162","6,248","18,112,744 ",Asia
French Guiana,"46,421",+56,332 ,+1,"11,254",,"34,835",5,"149,829","1,072","462,858","1,493,929","309,826 ",South America
French Polynesia,"46,334",,636 ,,N/A,N/A,N/A,7,"163,580","2,245",,,"283,250 ",Australia/Oceania
Martinique,"45,501",,718 ,,104,,"44,679",1,"121,386","1,915","416,247","1,110,451","374,845 ",North America
Madagascar,"44,800",,972 ,,"43,119",,709,22,"1,560",34,"290,447","10,115","28,715,781 ",Africa
Sudan,"44,529",+123,"3,208 ",+2,"36,009",,"5,312",,982,71,"238,579","5,264","45,323,453 ",Africa
Malta,"40,357",+88,470 ,+1,"38,111",+59,"1,776",3,"91,050","1,060","1,211,456","2,733,183","443,240 ",Europe
Mauritania,"39,742",+38,848 ,+2,"38,284",+78,610,15,"8,236",176,"523,887","108,565","4,825,580 ",Africa
Cabo Verde,"38,489",+7,351 ,,"38,009",+9,129,23,"68,159",622,"211,166","373,948","564,694 ",Africa
Guyana,"38,453",+51,"1,016 ",+2,"36,634",+129,803,14,"48,550","1,283","402,981","508,797","792,027 ",South America
Gabon,"37,591",,282 ,,"34,131",,"3,178",6,"16,334",123,"1,425,314","619,337","2,301,353 ",Africa
Papua New Guinea,"35,835",,573 ,,"34,917",,345,7,"3,899",62,"249,149","27,107","9,191,184 ",Australia/Oceania
Belize,"31,033",+42,586 ,,"29,609",+73,838,10,"76,056","1,436","361,427","885,790","408,028 ",North America
Guinea,"30,798",,388 ,,"29,753",,657,49,"2,257",28,"569,940","41,768","13,645,501 ",Africa
Barbados,"26,668",+103,249 ,+3,"24,064",,"2,355",,"92,635",865,"448,856","1,559,161","287,883 ",North America
Togo,"26,372",+15,243 ,,"25,937",,192,,"3,082",28,"589,871","68,925","8,558,107 ",Africa
Tanzania,"26,309",,734 ,,N/A,N/A,N/A,7,423,12,,,"62,182,693 ",Africa
Haiti,"25,744",,758 ,,"22,028",,"2,958",,"2,219",65,"132,422","11,413","11,602,925 ",North America
Benin,"24,897",,161 ,,"24,546",,190,5,"1,979",13,"604,310","48,036","12,580,279 ",Africa
Seychelles,"23,806",,129 ,,"23,294",,383,,"239,919","1,300",,,"99,225 ",Africa
Somalia,"23,074",+23,"1,333 ",+2,"12,817",+492,"8,924",,"1,396",81,"262,138","15,857","16,531,357 ",Africa
Bahamas,"22,881",+22,708 ,+3,"21,656",+7,517,4,"57,394","1,776","172,649","433,071","398,662 ",North America
Mauritius,"22,461",+68,680 ,+28,"20,781",+90,"1,000",,"17,619",533,"358,675","281,355","1,274,813 ",Africa
Lesotho,"22,448",,664 ,,"13,849",,"7,935",,"10,360",306,"269,476","124,369","2,166,741 ",Africa
Mayotte,"21,088",+45,185 ,,"2,964",,"17,939",,"74,703",655,"176,919","626,723","282,292 ",Africa
Burundi,"20,610",+87,38  ,,773,,"19,799",,"1,662",3,"345,742","27,882","12,400,342 ",Africa
Channel Islands,"20,327",+168,107 ,,"18,136",+226,"2,084",,"115,380",607,"1,092,362","6,200,472","176,174 ",Europe
Timor-Leste,"19,829",,122 ,,"19,702",,5,,"14,638",90,"211,166","155,886","1,354,621 ",Asia
Andorra,"19,440",+168,133 ,,"16,995",+116,"2,312",4,"251,023","1,717","204,343","2,638,625","77,443 ",Europe
Iceland,"19,159",+107,35 ,,"17,751",+137,"1,373",5,"55,624",102,"1,281,041","3,719,232","344,437 ",Europe
Congo,"19,066",,359 ,,"12,421",,"6,286",,"3,337",63,"188,207","32,940","5,713,630 ",Africa
Mali,"18,404",+75,623 ,+1,"15,454",+39,"2,327",,873,30,"503,761","23,886","21,090,186 ",Africa
Curaçao,"17,560",+20,182 ,+2,"17,246",+8,132,3,"106,385","1,103","349,429","2,116,969","165,061 ",North America
Nicaragua,"17,328",,210 ,,"4,225",,"12,893",,"2,572",31,,,"6,738,184 ",North America
Tajikistan,"17,095",,124 ,,"16,966",,5,,"1,736",13,,,"9,846,137 ",Asia
Taiwan,"16,721",+16,848 ,,"15,672",+4,201,,700,36,"8,654,769","362,443","23,878,972 ",Asia
Aruba,"16,549",+18,177 ,+1,"16,173",+20,199,10,"154,059","1,648","177,885","1,655,977","107,420 ",North America
Burkina Faso,"16,334",,290 ,,"15,604",,440,,752,13,"234,250","10,781","21,728,224 ",Africa
Brunei ,"15,308",+25,98 ,,"14,923",+38,287,,"34,515",221,"657,619","1,482,727","443,520 ",Asia
Equatorial Guinea,"13,612",+13,175 ,,"13,386",+40,51,1,"9,264",119,"263,190","179,128","1,469,283 ",Africa
Djibouti,"13,514",,188 ,,"13,298",+2,28,,"13,397",186,"250,201","248,041","1,008,708 ",Africa
Saint Lucia,"13,086",+19,283 ,,"12,699",+17,104,6,"70,797","1,531","102,297","553,441","184,838 ",North America
South Sudan,"12,873",+31,133 ,,"12,576",+60,164,2,"1,131",12,"274,916","24,152","11,382,933 ",Africa
New Zealand,"12,715",+94,44 ,,"6,043",+24,"6,628",40,"2,542",9,"5,171,899","1,033,946","5,002,100 ",Australia/Oceania
Hong Kong,"12,483",+4,213 ,,"12,159",+3,111,,"1,646",28,"28,539,548","3,762,779","7,584,700 ",Asia
Isle of Man,"12,441",+95,67 ,,"11,478",+134,896,1,"145,200",782,"133,676","1,560,141","85,682 ",Europe
New Caledonia,"12,358",+15,280 ,,"11,882",+41,196,8,"42,694",967,"42,756","147,712","289,456 ",Australia/Oceania
CAR,"11,912",+170,101 ,,"6,859",,"4,952",2,"2,406",20,"60,228","12,165","4,950,763 ",Africa
Yemen,"10,056",+9,"1,962 ",+5,"6,938",+2,"1,156",23,327,64,"265,253","8,620","30,771,977 ",Asia
Gambia,"9,998",,342 ,,"9,641",,15,1,"3,976",136,"125,971","50,100","2,514,375 ",Africa
Cayman Islands,"7,871",+30,9 ,,"4,339",,"3,523",17,"117,768",135,"213,075","3,188,075","66,835 ",North America
Eritrea,"7,616",+33,63 ,+1,"7,369",+20,184,,"2,106",17,"23,693","6,550","3,617,171 ",Africa
Gibraltar,"7,491",+26,100 ,,"7,102",+23,289,,"222,443","2,969","426,643","12,669,052","33,676 ",Europe
Niger,"7,149",+18,267 ,+2,"6,805",+29,77,2,281,10,"194,647","7,643","25,466,527 ",Africa
Guinea-Bissau,"6,447",+2,149 ,,"6,281",+2,17,,"3,168",73,"108,549","53,342","2,034,974 ",Africa
Sierra Leone,"6,421",+1,121 ,,N/A,N/A,N/A,,782,15,"160,729","19,576","8,210,644 ",Africa
Dominica,"6,233",+25,42 ,,"5,768",,423,,"86,277",581,"114,250","1,581,446","72,244 ",North America
San Marino,"6,217",,94 ,,"5,772",,351,3,"182,670","2,762","93,080","2,734,912","34,034 ",Europe
Grenada,"5,913",+3,200 ,,"5,651",+4,62,2,"52,200","1,766","88,750","783,492","113,275 ",North America
Liberia,"5,833",+1,287 ,,"5,535",+12,11,2,"1,116",55,"128,246","24,527","5,228,846 ",Africa
Bermuda,"5,764",+4,106 ,,"5,634",+11,24,,"93,049","1,711","660,179","10,657,331","61,946 ",North America
Chad,"5,701",,181 ,,"4,874",,646,,333,11,"157,235","9,193","17,104,134 ",Africa
St. Vincent Grenadines,"5,692",+47,77 ,+1,"5,111",+15,504,7,"51,073",691,"91,554","821,495","111,448 ",North America
Liechtenstein,"5,222",+36,67 ,+2,"4,772",+67,383,11,"136,395","1,750","80,413","2,100,324","38,286 ",Europe
Sint Maarten,"4,628",+4,75 ,,"4,520",+5,33,10,"106,200","1,721","62,056","1,424,021","43,578 ",North America
Comoros,"4,560",+4,151 ,,"4,366",+34,43,,"5,088",168,,,"896,280 ",Africa
Faeroe Islands,"4,275",+63,13 ,,"3,737",+57,525,7,"87,012",265,"591,000","12,029,065","49,131 ",Europe
Antigua and Barbuda,"4,159",+8,117 ,,"4,025",+3,17,1,"41,969","1,181","18,195","183,606","99,098 ",North America
Monaco,"4,054",+48,36 ,,"3,810",+24,208,1,"102,263",908,"54,960","1,386,373","39,643 ",Europe
Saint Martin,"3,973",,56 ,,"1,399",,"2,518",7,"100,288","1,414","54,303","1,370,734","39,616 ",North America
Sao Tome and Principe,"3,733",,57 ,,"3,675",,1,,"16,589",253,"14,934","66,367","225,022 ",Africa
Turks and Caicos,"3,130",+11,25 ,,"3,066",,39,,"79,297",633,"94,789","2,401,424","39,472 ",North America
Caribbean Netherlands,"3,119",+10,22 ,,"2,939",+27,158,,"117,366",828,"30,126","1,133,622","26,575 ",North America
British Virgin Islands,"2,816",,38 ,,N/A,N/A,N/A,7,"92,264","1,245","82,570","2,705,350","30,521 ",North America
Saint Kitts and Nevis,"2,795",+3,28 ,,"2,758",+5,9,1,"52,008",521,"57,214","1,064,605","53,742 ",North America
Bhutan,"2,649",+1,3 ,,"2,626",,20,,"3,379",4,"1,257,972","1,604,847","783,858 ",Asia
Greenland,"1,774",, ,,"1,520",,254,2,"31,171",,"119,120","2,093,056","56,912 ",North America
St. Barth,"1,603",,6 ,,N/A,N/A,N/A,,"161,593",605,"56,491","5,694,657","9,920 ",North America
