"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Maldives,"171,947",+298,297 ,,"156,871",+419,"14,779",25,"309,008",534,"2,196,672","3,947,661","556,449 ",Asia
Uganda,"163,338",+22,"3,590 ",+2,"100,064",+7,"59,684",35,"3,392",75,"2,472,516","51,348","48,152,210 ",Africa
Ghana,"160,028",,"1,442 ",,"157,999",,587,1,"4,977",45,"2,321,483","72,194","32,156,315 ",Africa
Namibia,"157,311",+27,"4,013 ",+3,"152,825",+19,473,5,"60,093","1,533","959,397","366,493","2,617,778 ",Africa
El Salvador,"156,364",,"4,083 ",+2,"132,410",,"19,871",153,"23,906",624,"1,758,939","268,913","6,540,912 ",North America
Laos,"143,710",+224,628 ,+2,"7,660",,"135,422",,"19,285",84,"1,002,806","134,569","7,451,969 ",Asia
Iceland,"140,929","+2,049",68 ,,"75,685",,"65,176",3,"408,555",197,"1,782,357","5,167,076","344,945 ",Europe
Cambodia,"131,738",+366,"3,038 ",+5,"125,536",+507,"3,164",,"7,701",178,"2,871,758","167,884","17,105,604 ",Asia
Rwanda,"129,548",+5,"1,458 ",,"45,522",,"82,568",1,"9,604",108,"4,891,170","362,621","13,488,364 ",Africa
Trinidad and Tobago,"129,321",+345,"3,649 ",+7,"103,933","+1,197","21,739",18,"91,908","2,593","636,623","452,448","1,407,064 ",North America
Jamaica,"128,142",+34,"2,825 ",+10,"78,146",+286,"47,171",25,"42,961",947,"859,477","288,147","2,982,772 ",North America
Guadeloupe,"126,642",,837 ,,"2,250",,"123,555",19,"316,417","2,091","938,039","2,343,703","400,238 ",North America
Cameroon,"119,322",,"1,926 ",,"117,263",,133,13,"4,316",70,"1,751,774","63,357","27,649,288 ",Africa
Martinique,"115,951",,895 ,,104,,"114,952",10,"309,385","2,388","707,420","1,887,566","374,779 ",North America
Angola,"98,796",+50,"1,900 ",,"96,738",+58,158,,"2,858",55,"1,436,142","41,540","34,572,824 ",Africa
DRC,"86,154",+16,"1,335 ",,"50,930",,"33,889",,915,14,"846,704","8,997","94,106,628 ",Africa
Senegal,"85,739",+10,"1,961 ",+1,"83,695",+12,83,3,"4,905",112,"1,019,319","58,311","17,480,669 ",Africa
Malawi,"85,396",+13,"2,617 ",,"76,004",+90,"6,775",67,"4,279",131,"549,568","27,540","19,955,357 ",Africa
Ivory Coast,"81,534",+11,795 ,+1,"80,220",+88,519,,"2,968",29,"1,425,886","51,909","27,469,041 ",Africa
Brunei ,"80,749","+4,215",135 ,,"43,177","+2,395","37,437",,"181,671",304,"717,784","1,614,885","444,480 ",Asia
Suriname,"78,394",+41,"1,317 ",,"49,362",+3,"27,715",3,"131,662","2,212","229,911","386,134","595,417 ",South America
French Guiana,"77,782",+17,393 ,+1,"11,254",,"66,135",5,"249,614","1,261","597,622","1,917,859","311,609 ",South America
